Created At,Coordinates,Tweet,Full Name,State,City,Final State,C1,C2,C3,C4,C5,C6,C7,C8
17-04-2016 12:00,"{u'type': u'Point', u'coordinates': [-73.0747222, 40.9163889]}",happy birthday to my favorite bully and a fantasy acting league and… https://t.co/4NB9yjegx2,"Setauket, NY",NY,Setauket,NY,-73.130214,40.885795,-73.130214,40.970176,-73.065089,40.970176,-73.065089,40.885795
17-04-2016 12:01,,@marklevinshow So sick of Trumps bullying and whining. Run as a Dem!,"Ocala, FL",FL,Ocala,FL,-82.293902,28.962902,-82.293902,29.277543,-82.027829,29.277543,-82.027829,28.962902
17-04-2016 12:26,,Watched the Anita Hill HBO jawn last night-- surprised that they soft-pedaled what a bully Joe Biden was IRL.,"Massachusetts, USA",USA,Massachusetts,Massachusetts,-73.508143,41.187054,-73.508143,42.886824,-69.858861,42.886824,-69.858861,41.187054
17-04-2016 12:29,,Hard to fathom the depth of misogynistic bullying in this country. #ImWithHer https://t.co/SW8mdvfVKj,"Houston, TX",TX,Houston,TX,-95.823268,29.522325,-95.823268,30.154665,-95.069705,30.154665,-95.069705,29.522325
17-04-2016 12:31,,"@SonRanto Remember when the Cards were like, we are still good Cubs have to take it from us. Love being a bully lol","Knoxville, TN",TN,Knoxville,TN,-84.19397,35.831436,-84.19397,36.133505,-83.733713,36.133505,-83.733713,35.831436
17-04-2016 12:37,,Y'all probably I'm such a retard lmao. I actually am,"Lanham, MD",MD,Lanham,MD,-76.885508,38.934439,-76.885508,38.988666,-76.821939,38.988666,-76.821939,38.934439
17-04-2016 12:37,,Y'all probably think I'm such a retard lmao,"Lanham, MD",MD,Lanham,MD,-76.885508,38.934439,-76.885508,38.988666,-76.821939,38.988666,-76.821939,38.934439
17-04-2016 12:37,,"DAYUM, that's a long list. Merca bullying governments for a century! God bless Merca! https://t.co/fuc67imG5Z","Jonesboro, AR",AR,Jonesboro,AR,-90.782468,35.763136,-90.782468,35.894116,-90.611214,35.894116,-90.611214,35.763136
17-04-2016 12:39,,"""Ain't nobody playing with you big fella you soft"" 😭😭😭😂 kill  https://t.co/b9afksDxWH","Columbus, OH",OH,Columbus,OH,-83.200169,39.832013,-83.200169,40.157354,-82.771375,40.157354,-82.771375,39.832013
17-04-2016 12:54,,"It's a shame we don't listen, understand, sympathize or believe until a movie, song or book is written #Confirmation #Concussion #bullying","Florida, USA",USA,Florida,Florida,-87.634643,24.396308,-87.634643,31.001056,-79.974307,31.001056,-79.974307,24.396308
17-04-2016 12:56,,I know how it feels to get bullied and it sucked. #wordshurt,"Newport News, VA",VA,Newport News,VA,-76.62797,36.960216,-76.62797,37.220386,-76.387647,37.220386,-76.387647,36.960216
17-04-2016 13:02,,@kingguerrero_7 @peytenmichele_ I'll bully you in person and not even think twice about how you feel #WatchOutLilBitch,"New York, USA",USA,New York,New York,-79.76259,40.477383,-79.76259,45.015851,-71.777492,45.015851,-71.777492,40.477383
17-04-2016 13:04,,Reminders for adults too... You never look good by putting someone else down. Being a descent person is free #benice https://t.co/HELWxLMj28,"Akron, OH",OH,Akron,OH,-81.628444,40.995137,-81.628444,41.166618,-81.405059,41.166618,-81.405059,40.995137
17-04-2016 13:11,,I bet the feminsists who made a Rosetta scientist cry over a shirt choice will be denouncing cyber bullying today. #MonicaLewinsky #cringe,"Mount Healthy, OH",OH,Mount Healthy,OH,-84.559758,39.223821,-84.559758,39.244269,-84.53392,39.244269,-84.53392,39.223821
17-04-2016 13:17,,omg Milos u are a retard in the NB commercial :(((,"Pittsburgh, PA",PA,Pittsburgh,PA,-80.095586,40.36158,-80.095586,40.501198,-79.865793,40.501198,-79.865793,40.36158
17-04-2016 13:21,,"Instead of fighting which is better; appreciate that after being bullied for our passion, comics are a social norm in media #BvS #civilwar","Patchogue, NY",NY,Patchogue,NY,-73.037902,40.746702,-73.037902,40.77814,-73.003159,40.77814,-73.003159,40.746702
17-04-2016 13:22,,"@TIMENOUT @YouTube BLIND AS BAT, RETARD GENE MUZZ.  HEARD IT ALL, NOW. CUT HIS TONGUE OUT, HELL-O &amp; HELL FIRE! MU-HAM- IS MAD, ALL MUZZ R.","Florida, USA",USA,Florida,Florida,-87.634643,24.396308,-87.634643,31.001056,-79.974307,31.001056,-79.974307,24.396308
17-04-2016 13:26,,He's not lying at all https://t.co/lyjWsYW3ZF,"St Petersburg, FL",FL,St Petersburg,FL,-82.758209,27.694323,-82.758209,27.897116,-82.587597,27.897116,-82.587597,27.694323
17-04-2016 13:27,,Woodside need to relax with all that bullying,"Virginia Beach, VA",VA,Virginia Beach,VA,-76.22808,36.672684,-76.22808,36.932399,-75.911812,36.932399,-75.911812,36.672684
17-04-2016 13:29,,"I hope those girls who were bullying that beautiful child, have restless nights. They should be sick rn. they deserve whatever's coming👌🏾","Hampton, VA",VA,Hampton,VA,-76.451006,36.989568,-76.451006,37.112225,-76.273546,37.112225,-76.273546,36.989568
17-04-2016 13:29,,True! https://t.co/PtoNTcsCIq,"Indianapolis, IN",IN,Indianapolis,IN,-86.348441,39.631677,-86.348441,39.927448,-85.937404,39.927448,-85.937404,39.631677
17-04-2016 13:34,,Emenike needs to man up and bully back! ⚒,"Alexandria, VA",VA,Alexandria,VA,-77.144435,38.789907,-77.144435,38.844853,-77.037304,38.844853,-77.037304,38.789907
17-04-2016 13:37,,"Ill rather play Bron now then playing him in a era where they didn't call fouls he gone bully whoever 6'8"" 260 running faster than guards","Trotwood, OH",OH,Trotwood,OH,-84.330503,39.74629,-84.330503,39.833568,-84.25346,39.833568,-84.25346,39.74629
17-04-2016 13:43,,"@FoxNewsSunday @FoxNews SHOULD NEVER HAVE BEEN. @MichelleFields WAS BULLIED BY EMPLOYER INTO FILING CHARGES, PRESUMABLY FOR PUBLICITY.","Portland, OR",OR,Portland,OR,-122.790065,45.421863,-122.790065,45.650941,-122.471751,45.650941,-122.471751,45.421863
17-04-2016 13:46,,@creativeguer Yeah I was never aware of the bullying she faced as a child and how it followed her to adulthood.,"Manhattan, NY",NY,Manhattan,NY,-74.026675,40.683935,-74.026675,40.877483,-73.910408,40.877483,-73.910408,40.683935
17-04-2016 13:50,,Cyber bullying is on the rise... https://t.co/AEbsrlplqz,"Ohio, USA",USA,Ohio,Ohio,-84.820309,38.403186,-84.820309,42.327133,-80.518626,42.327133,-80.518626,38.403186
17-04-2016 13:50,,I would love to see Rumble Johnson take out another one of Rashads bully's!,"Gillette, WY",WY,Gillette,WY,-105.574767,44.214886,-105.574767,44.317085,-105.415795,44.317085,-105.415795,44.214886
17-04-2016 13:59,,"@__Stellaaaar No one bullied you, shut up.","Carolina del Norte, USA",USA,Carolina del Norte,Carolina del Norte,-84.321948,33.752879,-84.321948,36.588118,-75.40012,36.588118,-75.40012,33.752879
17-04-2016 14:13,,"@delcaste you're the one believing a con man👏 and a POW, woman bashing, bully, at that.  @ascending2him","Florida, USA",USA,Florida,Florida,-87.634643,24.396308,-87.634643,31.001056,-79.974307,31.001056,-79.974307,24.396308
17-04-2016 14:17,,The Karate Kid is my favorite story that teaches that you can earn a bully's respect by creatively kicking them in the face.,"Nevada, USA",USA,Nevada,Nevada,-120.00574,35.002086,-120.00574,42.002208,-114.039649,42.002208,-114.039649,35.002086
17-04-2016 14:20,,Been bullied or been the bully? Spread the word. Come join us Tuesday. https://t.co/QW1KWDcK6H,"San Antonio, TX",TX,San Antonio,TX,-98.778559,29.141956,-98.778559,29.693046,-98.302744,29.693046,-98.302744,29.141956
17-04-2016 14:23,,My bestfriend is a bully. Starting to hate Scorpios. 😩😩😩😩,"Lansing, IL",IL,Lansing,IL,-87.580767,41.539484,-87.580767,41.595245,-87.524848,41.595245,-87.524848,41.539484
17-04-2016 14:23,,RMFT always https://t.co/GeHY3PTDgd,"Oklahoma City, OK",OK,Oklahoma City,OK,-97.768683,35.290722,-97.768683,35.674965,-97.335639,35.674965,-97.335639,35.290722
17-04-2016 14:23,,I thought they are lol?  https://t.co/9vOYW8WVnl,"Norfolk, VA",VA,Norfolk,VA,-76.334287,36.820791,-76.334287,36.969373,-76.177085,36.969373,-76.177085,36.820791
17-04-2016 14:26,,@JamarMelo_ nah u rly a bully,"Oak Ridge, TN",TN,Oak Ridge,TN,-84.347226,35.962375,-84.347226,36.073648,-84.16569,36.073648,-84.16569,35.962375
17-04-2016 14:26,,@JoyAnnReid when are you going to call out your club account for bullying and blocking HRC supporters on behalf of Bernie? Biased!!,"Sunrise Manor, NV",NV,Sunrise Manor,NV,-115.116116,36.107582,-115.116116,36.261926,-115.006139,36.261926,-115.006139,36.107582
17-04-2016 14:28,,Trump has been bullying ppl his ENTIRE life &amp; he's now trying to bully America! Republicans better NOT cave 2 him! https://t.co/aL3uD5Edv7,"Tonka Bay, MN",MN,Tonka Bay,MN,-93.602208,44.900569,-93.602208,44.928633,-93.573227,44.928633,-93.573227,44.900569
17-04-2016 14:29,,@GSD1507 @SandyPierce @wisefamof5 @PolitiBunny See how he bullied this person yesterday https://t.co/Gioy701obS,"Tonka Bay, MN",MN,Tonka Bay,MN,-93.602208,44.900569,-93.602208,44.928633,-93.573227,44.928633,-93.573227,44.900569
17-04-2016 14:30,,"@Wes_Side_Story yeah it's like a cyber bullying law, if the person does harm to themselves then the people responsible","Norfolk, VA",VA,Norfolk,VA,-76.334287,36.820791,-76.334287,36.969373,-76.177085,36.969373,-76.177085,36.820791
17-04-2016 14:33,,"Is anyone watching DT MO? Whine, Threaten, Bully, Blame - YES America, this is the ""Great America"" Trump would MAKE https://t.co/lL7aHBYyDz","Florida, USA",USA,Florida,Florida,-87.634643,24.396308,-87.634643,31.001056,-79.974307,31.001056,-79.974307,24.396308
17-04-2016 14:35,,@Wes_Side_Story cyber bullying and it says manslaughter,"Norfolk, VA",VA,Norfolk,VA,-76.334287,36.820791,-76.334287,36.969373,-76.177085,36.969373,-76.177085,36.820791
17-04-2016 14:35,,Seriously though 😂 and 2nd grade was when th https://t.co/hIyzMZ1ZWt,"Kentucky, USA",USA,Kentucky,Kentucky,-89.57151,36.497129,-89.57151,39.147359,-81.964971,39.147359,-81.964971,36.497129
17-04-2016 14:36,,Seriously though 😂 https://t.co/hIyzMZ1ZWt,"Kentucky, USA",USA,Kentucky,Kentucky,-89.57151,36.497129,-89.57151,39.147359,-81.964971,39.147359,-81.964971,36.497129
17-04-2016 14:37,,You're gonna get a 4 for this  https://t.co/prssWKGsrG,"New Windsor, NY",NY,New Windsor,NY,-74.198564,41.430588,-74.198564,41.505569,-74.007143,41.505569,-74.007143,41.430588
17-04-2016 14:38,,"@DarcyMoriarity they become ""the crowd""; can't deviate or be ""edgy"" or you'll get ostracized and bullied ... they've lost what made them","Texas, USA",USA,Texas,Texas,-106.645646,25.837092,-106.645646,36.500695,-93.508131,36.500695,-93.508131,25.837092
17-04-2016 14:38,,"@Mischief2You @joannesmoot Sure signs Trump is a Dem: whining, bullying, blaming, threatening violence, sense of entitlement.
#ChooseCruz","Queens, NY",NY,Queens,NY,-73.962582,40.541722,-73.962582,40.800037,-73.699793,40.800037,-73.699793,40.541722
17-04-2016 14:52,,"If you bully someone just because you have the advantage of being older and ""bigger"" youre an immature little brat that needs a wake up call","Prairie du Chien, WI",WI,Prairie du Chien,WI,-91.165355,43.022765,-91.165355,43.087074,-91.106231,43.087074,-91.106231,43.022765
17-04-2016 14:55,,Bios v2 going for springfield clips with god mode nice one retard,"Pennsylvania, USA",USA,Pennsylvania,Pennsylvania,-80.519851,39.719801,-80.519851,42.516072,-74.689517,42.516072,-74.689517,39.719801
17-04-2016 14:56,,@DRHegedus this is bullying!,"Florida, USA",USA,Florida,Florida,-87.634643,24.396308,-87.634643,31.001056,-79.974307,31.001056,-79.974307,24.396308
